Trading date time;Price;Volume
05/01/2024;690.7000000;2
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;3
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;4
05/01/2024;690.7000000;1
05/01/2024;690.7000000;2
05/01/2024;690.7000000;25
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;2
05/01/2024;690.7000000;1
05/01/2024;690.7000000;10
05/01/2024;690.7000000;2
05/01/2024;690.7000000;3
05/01/2024;690.7000000;7
05/01/2024;690.7000000;3
05/01/2024;690.7000000;1
05/01/2024;690.7000000;3
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;3
05/01/2024;690.7000000;7
05/01/2024;690.7000000;2
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;2
05/01/2024;690.7000000;4
05/01/2024;690.7000000;1
05/01/2024;690.7000000;8
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;13
05/01/2024;690.7000000;2
05/01/2024;690.7000000;2
05/01/2024;690.7000000;2
05/01/2024;690.7000000;2
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;23
05/01/2024;690.7000000;2
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;20
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;10
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;1
05/01/2024;690.7000000;3
05/01/2024;690.7000000;183
05/01/2024;690.7000000;10
05/01/2024;690.7000000;2
05/01/2024;690.7000000;6
05/01/2024;690.7000000;40
05/01/2024;690.7000000;37
05/01/2024;690.7000000;15
05/01/2024;690.7000000;2
05/01/2024;690.7000000;1
05/01/2024;690.7000000;8
05/01/2024;690.7000000;2
05/01/2024;690.7000000;3
05/01/2024;690.7000000;8
05/01/2024;690.7000000;22
05/01/2024;690.7000000;2
05/01/2024;690.7000000;2
05/01/2024;690.7000000;3
05/01/2024;690.7000000;37
05/01/2024;690.7000000;2
05/01/2024;690.7000000;40
05/01/2024;690.7000000;7
05/01/2024;690.7000000;2
05/01/2024;690.7000000;22
05/01/2024;690.7000000;2
05/01/2024;690.7000000;5
05/01/2024;690.7000000;1
05/01/2024;690.7000000;13
05/01/2024;690.7000000;8
05/01/2024;690.7000000;21
05/01/2024;690.7000000;44
05/01/2024;690.7000000;6
05/01/2024;690.7000000;4
05/01/2024;690.7000000;5
05/01/2024;690.7000000;5
05/01/2024;690.7000000;41
05/01/2024;690.7000000;24
